smiles,value,unit,measurements,value_std,value_range,is_unstable
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,155.8,VCEAC,1,0.0,0.0,False
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,133.5,VCEAC,1,0.0,0.0,False
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,25.6,VCEAC,1,0.0,0.0,False
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,101.1,VCEAC,1,0.0,0.0,False
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,146.6,VCEAC,1,0.0,0.0,False
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,135.1,VCEAC,1,0.0,0.0,False
O=C1CC(c2ccccc2)Oc2ccc(O)cc21,31.8,VCEAC,1,0.0,0.0,False
O=C1CC(c2ccccc2O)Oc2ccccc21,29.4,VCEAC,1,0.0,0.0,False
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,213.5,VCEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,128.0,VCEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,71.8,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,261.8,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,229.4,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,118.1,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,114.6,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,165.3,VCEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,91.9,VCEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,178.3,VCEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,89.8,VCEAC,1,0.0,0.0,False
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,118.2,VCEAC,1,0.0,0.0,False
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,24.9,VCEAC,1,0.0,0.0,False
O=c1cc(-c2ccccc2)oc2cccc(O)c12,11.6,VCEAC,1,0.0,0.0,False
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,264.4,VCEAC,1,0.0,0.0,False
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,245.5,VCEAC,1,0.0,0.0,False
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,215.7,VCEAC,1,0.0,0.0,False
Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,240.0,VCEAC,1,0.0,0.0,False
Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,157.7,VCEAC,1,0.0,0.0,False
