smiles,value,unit,measurements,value_std,value_range,is_unstable
C=C1CCCC(C)(C)C1Cc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,5.29,TEAC,1,0.0,0.0,False
C=C1CCCC(C)(C)C1Cc1c(OC)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,7.23,TEAC,1,0.0,0.0,False
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0.197,TEAC,1,0.0,0.0,False
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0.076,TEAC,1,0.0,0.0,False
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0.083,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.882,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.837,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.75,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.757,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.601,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,0.67,TEAC,1,0.0,0.0,False
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0.077,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,0.27382,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O.[Cl-],9.0,TEAC,1,0.0,0.0,False
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,2.57,TEAC,1,0.0,0.0,False
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,1.11,TEAC,1,0.0,0.0,False
CCCCCCNC(=O)CCc1ccc(O)c(O)c1,1.0,TEAC,1,0.0,0.0,False
CCCCCCOC(=O)C=Cc1ccc(O)c(O)c1,0.97,TEAC,1,0.0,0.0,False
CCCCCCOC(=O)CCc1ccc(O)c(O)c1,0.99,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1cc(Br)c(O)c(OC)c1,0.558,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1cc(O)c(O)c(Br)c1,0.938,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1ccc(O)c(O)c1,0.877,TEAC,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(OC)c1,0.593,TEAC,1,0.0,0.0,False
COc1cc(C(=O)O)ccc1O,0.006,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,2.02,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O,1.48,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)O)cc(OC)c1O,0.862,TEAC,1,0.0,0.0,False
COc1cc(CC(CO)C(CO)Cc2ccc(O)c(OC)c2)ccc1O,0.183,TEAC,1,0.0,0.0,False
COc1cc(CC2C(=O)OCC2Cc2ccc(OC)c(OC)c2)ccc1O,0.085,TEAC,1,0.0,0.0,False
COc1cc(CC2COC(=O)C2Cc2ccc(O)c(OC)c2)ccc1O,0.207,TEAC,1,0.0,0.0,False
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,0.70072,TEAC,1,0.0,0.0,False
COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,0.073,TEAC,1,0.0,0.0,False
COc1cc(O)ccc1C(=O)C=Cc1ccc(O)c(O)c1,1.82,TEAC,1,0.0,0.0,False
COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,0.02,TEAC,1,0.0,0.0,False
