smiles,value,unit,measurements,value_std,value_range,is_unstable
C=CC(C)(C)c1c(O)c(CC=C(C)C)c2oc3cc(O)c(O)cc3c(=O)c2c1O,-1.187520720836463,pIC50,1,0.0,0.0,False
C=CC(C)(C)c1c(O)cc2oc3c(CC=C(C)C)c(O)c(O)cc3c(=O)c2c1O,-1.1367205671564067,pIC50,1,0.0,0.0,False
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12,-1.2405492482825997,pIC50,1,0.0,0.0,False
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3ccc(O)c(O)c3oc12,-1.5024271199844328,pIC50,1,0.0,0.0,False
C=CCc1cc(OC)c(O)c(OC2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)c1,-0.9132839017604184,pIC50,1,0.0,0.0,False
CC(C)(C)c1cc(O)ccc1O,3.4057700967283218,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC(=O)C=C(C)C1=O,9.698970004336019,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)C=Cc2cc(O)cc(C)c2O1,9.698970004336019,pIC50,1,0.0,0.0,False
CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,6.355079128992424,pIC50,1,0.0,0.0,False
CC(C)=CCc1c(O)c(O)cc2c(=O)c3c(O)c4c(cc3oc12)OC(C)C4(C)C,-1.0170333392987803,pIC50,1,0.0,0.0,False
CC(C)=CCc1c2c(c(O)c3c1OC(c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,6.890623968595624,pIC50,1,0.0,0.0,False
CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-1.8190716799915556,pIC50,1,0.0,0.0,False
CC(C)CC(NC(=O)C(C)N)C(=O)O,-2.9445314720169593,pIC50,1,0.0,0.0,False
CC(C)CC(NC(=O)C(N)CO)C(=O)O,-3.40061809215436,pIC50,1,0.0,0.0,False
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-2.6007317531910616,pIC50,1,0.0,0.0,False
CC(C)CC(NC(=O)C(N)Cc1cnc[nH]1)C(=O)O,-2.1511467372165645,pIC50,1,0.0,0.0,False
CC(C)CC(NC(=O)CN)C(=O)O,-3.4172993336122475,pIC50,1,0.0,0.0,False
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,7.660972054151271,pIC50,1,0.0,0.0,False
CC(NC(=O)C(N)C(C)C)C(=O)O,-2.2304842091814074,pIC50,1,0.0,0.0,False
CC(O)(CC(=O)O)CC(=O)OCC1OC(Oc2cc3c(cc2O)[N+](=CC=C2C=C(C(=O)O)NC(C(=O)O)C2)C(C(=O)[O-])C3)C(OC2OC(C(=O)O)C(O)C(O)C2O)C(O)C1O,5.092588639225414,pIC50,1,0.0,0.0,False
CC1(C)C=Cc2c(cc(O)c3c2OC(c2ccc(O)cc2)CC3=O)O1,6.26064921014957,pIC50,1,0.0,0.0,False
CC1=CC(=O)C(=O)C2=C1OC1(C2)C(C)CCC2C3(C)CCC(O)C(C)(C)C3CCC21C,9.744727494896694,pIC50,1,0.0,0.0,False
CC1=NN(c2ccccc2)C(=O)C1,-1.554004321011903,pIC50,1,0.0,0.0,False
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,-2.5036545192429593,pIC50,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,5.213958789757446,pIC50,1,0.0,0.0,False
CC=C(C)C(=O)OCC(=CC)C(=O)OCC=Cc1cc(OC)c2c(c1)OCO2,4.130768280269024,pIC50,1,0.0,0.0,False
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,3.8059495291336556,pIC50,1,0.0,0.0,False
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.8356471442155629,pIC50,1,0.0,0.0,False
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.9237237445957824,pIC50,1,0.0,0.0,False
CCCCO,3.4843291370807177,pIC50,1,0.0,0.0,False
CCCCOC(=O)C=Cc1cc(OC)c(O)c(OC)c1,-1.6998377258672457,pIC50,1,0.0,0.0,False
CCCCOC(=O)C=Cc1ccc(O)c(O)c1,-1.14921911265538,pIC50,1,0.0,0.0,False
CCCOC(=O)C=Cc1cc(OC)c(O)c(OC)c1,-1.7041505168397992,pIC50,1,0.0,0.0,False
CCCOC(=O)C=Cc1ccc(O)c(O)c1,-1.1613680022349748,pIC50,1,0.0,0.0,False
CCCOC(=O)C=Cc1ccc(O)c(OC)c1,-1.8068580295188175,pIC50,1,0.0,0.0,False
CCCOC(=O)c1cc(O)c(O)c(O)c1,2.0254883072626715,pIC50,1,0.0,0.0,False
CCOC(=O)C=Cc1ccc(O)c(O)c1,-1.130333768495006,pIC50,1,0.0,0.0,False
CCOC(=O)C=Cc1ccc(O)c(OC)c1,-1.824125833916549,pIC50,1,0.0,0.0,False
COC(=O)C=Cc1cc(OC)c(O)c(OC)c1,-1.6875289612146342,pIC50,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(O)c1,-1.146128035678238,pIC50,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(OC)c1,-1.8733206018153987,pIC50,1,0.0,0.0,False
