smiles,value,unit,measurements,value_std,value_range,is_unstable
CC(=O)NC(CS)C(=O)O,0.48,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,2.17164,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,0.19015,TEAC,1,0.0,0.0,False
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0.774,TEAC,1,0.0,0.0,False
CCOC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(=O)O,0.02,TEAC,1,0.0,0.0,False
COc1cc(-c2ccc3c(O)cc(O)cc3[o+]2)cc(OC)c1O,0.00447689,TEAC,1,0.0,0.0,False
COc1cc(-c2ccc3c(O)cc(O)cc3[o+]2)ccc1O,0.00305972,TEAC,1,0.0,0.0,False
COc1cc(-c2ccc3c4c(c(O)cc3[o+]2)CC(O)C(c2ccc(O)c(O)c2)O4)cc(OC)c1O,0.00332394,TEAC,1,0.0,0.0,False
COc1cc(-c2ccc3c4c(c(O)cc3[o+]2)CC(O)C(c2ccc(O)c(O)c2)O4)ccc1O,0.00451052,TEAC,1,0.0,0.0,False
COc1cc(C(=O)O)ccc1O,1.19306,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)O)cc(OC)c1O,1.25082,TEAC,1,0.0,0.0,False
COc1cc(CC(=O)O)cc(OC)c1O,2.48722,TEAC,1,0.0,0.0,False
COc1cc(CC(=O)O)ccc1O,0.61408,TEAC,1,0.0,0.0,False
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,3.70141,TEAC,1,0.0,0.0,False
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.15798,TEAC,1,0.0,0.0,False
COc1ccc(C(=O)O)cc1O,1.19306,TEAC,1,0.0,0.0,False
COc1ccc(C=CC(=O)O)cc1O,0.27887,TEAC,1,0.0,0.0,False
COc1ccc(CC(=O)O)cc1O,0.56692,TEAC,1,0.0,0.0,False
NC(CCS)C(=O)O,0.04,TEAC,1,0.0,0.0,False
NC(CS)C(=O)O,0.14,TEAC,1,0.0,0.0,False
NC(Cc1cc([N+](=O)[O-])c(O)c(O)c1O)C(=O)O,2.51,TEAC,1,0.0,0.0,False
O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,0.889,TEAC,1,0.0,0.0,False
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0.448,TEAC,1,0.0,0.0,False
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O,0.88,TEAC,1,0.0,0.0,False
O=C(O)C=Cc1cccc(O)c1,0.00482,TEAC,1,0.0,0.0,False
O=C(O)CCCCC1CCSS1,0.36,TEAC,1,0.0,0.0,False
O=C(O)Cc1ccc(O)c(O)c1,3.27387,TEAC,1,0.0,0.0,False
O=C(O)Cc1ccc(O)cc1,0.00496,TEAC,1,0.0,0.0,False
O=C(O)Cc1cccc(O)c1,0.00666,TEAC,1,0.0,0.0,False
O=C(O)c1cc(O)c(O)c(O)c1,0.151,TEAC,1,0.0,0.0,False
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,5.87469,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,0.91,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,0.38,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,1.1,TEAC,1,0.0,0.0,False
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.739,TEAC,1,0.0,0.0,False
OC(CS)C(O)CS,0.86,TEAC,1,0.0,0.0,False
OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O.[Cl-],0.01281663,TEAC,1,0.0,0.0,False
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.853,TEAC,2,0.018384776310850254,0.026000000000000023,False
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,0.69,TEAC,2,0.1357645019878172,0.19200000000000006,False
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc2c(c1O)CC(O)C(c1ccc(O)c(O)c1)O2,0.809,TEAC,1,0.0,0.0,False
Oc1cc(O)c2ccc(-c3ccc(O)c(O)c3)[o+]c2c1,0.00365541,TEAC,1,0.0,0.0,False
Oc1ccc(-c2ccc3c(O)cc(O)cc3[o+]2)cc1.[Cl-],0.00174342,TEAC,1,0.0,0.0,False
