smiles,value,unit,measurements,value_std,value_range,is_unstable
CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,7.430041181903406,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,8.968870381706202,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2c(C)c(O)cc(C)c2O1,9.119769668115163,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)c(C)c(C)c2O1,9.096492205606797,pIC50,1,0.0,0.0,False
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,9.0669533040967,pIC50,1,0.0,0.0,False
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,8.27490547891853,pIC50,1,0.0,0.0,False
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,9.522878745280337,pIC50,1,0.0,0.0,False
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,9.2518119729938,pIC50,1,0.0,0.0,False
CCCCOC(=O)c1cc(O)c(O)c(O)c1,9.136677139879545,pIC50,1,0.0,0.0,False
CCCOC(=O)c1cc(O)c(O)c(O)c1,9.113509274827518,pIC50,1,0.0,0.0,False
COC(=O)c1cc(O)c(O)c(O)c1,9.136677139879545,pIC50,1,0.0,0.0,False
COC(=O)c1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1,8.100015437450608,pIC50,1,0.0,0.0,False
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,9.585026652029182,pIC50,1,0.0,0.0,False
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,10.154901959985743,pIC50,1,0.0,0.0,False
COc1ccc(O)c(C(C)(C)C)c1,9.802168306671097,pIC50,1,0.0,0.0,False
COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,5.045757490560675,pIC50,1,0.0,0.0,False
C[N+](C)(C)C(Cc1c[nH]c(=S)[nH]1)C(=O)[O-],9.050609993355087,pIC50,1,0.0,0.0,False
C[n+]1ccc2c([nH]c3ccccc32)c1-c1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1,4.886056647693163,pIC50,1,0.0,0.0,False
