smiles,value,unit,measurements,value_std,value_range,is_unstable
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.763,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.927,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.695,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.832,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.609,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,0.836,TEAC,1,0.0,0.0,False
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0.32,TEAC,2,0.0,0.0,False
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.23,TEAC,1,0.0,0.0,False
CCCCOC(=O)c1cc(O)c(O)c(O)c1,1.78,TEAC,1,0.0,0.0,False
CCCOC(=O)c1cc(O)c(O)c(O)c1,1.88,TEAC,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(O)c1,3.08,TEAC,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(OC)c1,7.29,TEAC,1,0.0,0.0,False
COC(=O)c1cc(O)c(O)c(O)c1,1.76,TEAC,1,0.0,0.0,False
COc1cc(C(=O)O)cc(OC)c1O,1.21,TEAC,1,0.0,0.0,False
COc1cc(C(=O)O)ccc1O,1.88,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)O)ccc1O,2.44,TEAC,1,0.0,0.0,False
NC(Cc1cc([N+](=O)[O-])c(O)c(O)c1O)C(=O)O,2.48,TEAC,1,0.0,0.0,False
O=C(O)C=Cc1ccc(O)c(O)c1,2.25,TEAC,1,0.0,0.0,False
O=C(O)C=Cc1ccc(O)cc1,5.75,TEAC,1,0.0,0.0,False
O=C(O)c1cc(O)c(O)c(O)c1,1.53,TEAC,1,0.0,0.0,False
O=C(O)c1ccc(O)c(O)c1,1.13,TEAC,1,0.0,0.0,False
O=C(O)c1ccc(O)cc1,2.55,TEAC,1,0.0,0.0,False
O=Cc1ccc(O)cc1,0.67,TEAC,1,0.0,0.0,False
