smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0,0.079,0.5,clf1_active,1,0.0,0.0,False,TEAC
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,0.209,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(=CC(=O)CC(C)=CCC1=CC(=O)C=C(C)C1=O)CCC=C(C)Cc1cc(C)co1,0,0.3,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(=O)NC(CS)C(=O)O,1,0.53,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0.107,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(=O)OCCc1ccc(O)c(O)c1,0,0.2195,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0.124,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C,1,2.9,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C,0,0.03,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,0,0.02,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,1,0.762,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,1,0.887,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,1,0.7,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0,0.39,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1,0.773,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,1,0.616,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,1,0.668,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,1,1.129,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,1,1.089,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1,2.599,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1,2.439,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,2.389,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0,0.098,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,1,1.00273,0.5,clf1_active,2,0.3432720579948214,0.48546,False,TEAC
CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O.[Cl-],1,3.25,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,1,0.89,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,1,2.18,0.5,clf1_active,3,0.3763420430052073,0.75,False,TEAC
CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(CO)C(O)C(O)C4O)c(-c4ccc(OC5OC(CO)C(O)C(O)C5O)c(O)c4)oc3c2)C(O)C(O)C1O,1,1.23,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1,1.109,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCCC(=O)OCCc1ccc(O)c(O)c1,0,0.2558,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0,0.2324,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCOC(=O)C=Cc1cc(Br)c(O)c(OC)c1,1,2.558,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCOC(=O)C=Cc1cc(O)c(O)c(Br)c1,1,2.527,0.5,clf1_active,1,0.0,0.0,False,TEAC
CCOC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(=O)O,0,0.46,0.5,clf1_active,1,0.0,0.0,False,TEAC
COC(=O)C=Cc1ccc(O)c(OC)c1,1,2.538,0.5,clf1_active,1,0.0,0.0,False,TEAC
COCc1c(O)c(C)c2c3c1OC1OC(CO)C(O)C(O)C1OC3CC(c1ccc(O)cc1)O2,1,1.51,0.5,clf1_active,1,0.0,0.0,False,TEAC
COCc1c(O)c(C)c2c3c1OC1OC(CO)C(O)C(O)C1OC3CC(c1ccc(OC)cc1)O2,1,1.03,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1c(O)cc(C=Cc2cc(O)cc(O)c2)c2c1OC(=O)C21c2c(O)cc(O)cc2OC1c1ccc(O)cc1,1,1.852,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1c(O)cc(C=Cc2cc(O)cc3c2C2(C(=O)O3)c3c(O)cc(O)cc3OC2c2ccc(O)cc2)cc1O,1,1.51,0.5,clf1_active,2,0.1244507934888324,0.1760000000000001,False,TEAC
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,1,2.06,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,1,2.22,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,1,1.78,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,1,2.69,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C(=O)O)ccc1O,0,0.005,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C2OCC3(O)C(c4ccc(O)c(OC)c4)OCC23)ccc1O,1,5.1,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C2OCC3(O)C(c4ccc(O)c(OC)c4)OCC23O)ccc1O,1,5.33,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,1,2.24,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O,1,1.63,0.5,clf1_active,1,0.0,0.0,False,TEAC
COc1cc(C=CC(=O)O)cc(OC)c1O,1,2.538,0.5,clf1_active,1,0.0,0.0,False,TEAC
