smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,1,155.8,50.0,clf1_active,1,0.0,0.0,False,VCEAC
COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,1,133.5,50.0,clf1_active,1,0.0,0.0,False,VCEAC
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,0,25.6,50.0,clf1_active,1,0.0,0.0,False,VCEAC
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,1,101.1,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,1,146.6,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1,135.1,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=C1CC(c2ccccc2)Oc2ccc(O)cc21,0,31.8,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=C1CC(c2ccccc2O)Oc2ccccc21,0,29.4,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,1,213.5,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1,128.0,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1,71.8,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1,261.8,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,229.4,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,1,118.1,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1,114.6,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,1,165.3,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,1,91.9,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,178.3,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1,89.8,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,1,118.2,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0,24.9,50.0,clf1_active,1,0.0,0.0,False,VCEAC
O=c1cc(-c2ccccc2)oc2cccc(O)c12,0,11.6,50.0,clf1_active,1,0.0,0.0,False,VCEAC
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,1,264.4,50.0,clf1_active,1,0.0,0.0,False,VCEAC
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,1,245.5,50.0,clf1_active,1,0.0,0.0,False,VCEAC
Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,1,215.7,50.0,clf1_active,1,0.0,0.0,False,VCEAC
Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,1,240.0,50.0,clf1_active,1,0.0,0.0,False,VCEAC
Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,1,157.7,50.0,clf1_active,1,0.0,0.0,False,VCEAC
