smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
C=C1CCCC(C)(C)C1Cc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,1,5.29,0.5,clf1_active,1,0.0,0.0,False,TEAC
C=C1CCCC(C)(C)C1Cc1c(OC)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,1,7.23,0.5,clf1_active,1,0.0,0.0,False,TEAC
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,0.197,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0.076,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0.083,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,1,0.882,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,1,0.837,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,1,0.75,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1,0.757,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,1,0.601,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,1,0.67,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0,0.077,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,0,0.27382,0.5,clf1_active,1,0.0,0.0,False,TEAC
CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O.[Cl-],1,9.0,0.5,clf1_active,1,0.0,0.0,False,TEAC
