smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
C=CC(C)(C)c1c(O)c(CC=C(C)C)c2oc3cc(O)c(O)cc3c(=O)c2c1O,0,-1.187520720836463,4.0,clf1_active,1,0.0,0.0,False,pIC50
C=CC(C)(C)c1c(O)cc2oc3c(CC=C(C)C)c(O)c(O)cc3c(=O)c2c1O,0,-1.136720567156407,4.0,clf1_active,1,0.0,0.0,False,pIC50
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12,0,-1.2405492482825995,4.0,clf1_active,1,0.0,0.0,False,pIC50
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3ccc(O)c(O)c3oc12,0,-1.5024271199844328,4.0,clf1_active,1,0.0,0.0,False,pIC50
C=CCc1cc(OC)c(O)c(OC2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)c1,0,-0.9132839017604184,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)(C)c1cc(O)ccc1O,0,3.4057700967283218,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC(=O)C=C(C)C1=O,1,9.69897000433602,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)C=Cc2cc(O)cc(C)c2O1,1,9.69897000433602,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)CC(c1ccc(O)cc1)O2,1,6.355079128992424,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCc1c(O)c(O)cc2c(=O)c3c(O)c4c(cc3oc12)OC(C)C4(C)C,0,-1.0170333392987805,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCc1c2c(c(O)c3c1OC(c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,1,6.890623968595624,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0,-1.819071679991556,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)CC(NC(=O)C(C)N)C(=O)O,0,-2.9445314720169597,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)CC(NC(=O)C(N)CO)C(=O)O,0,-3.40061809215436,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,0,-2.6007317531910616,4.0,clf1_active,1,0.0,0.0,False,pIC50
