smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,1,7.430041181903406,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,1,8.968870381706202,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2c(C)c(O)cc(C)c2O1,1,9.119769668115165,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)c(C)c(C)c2O1,1,9.096492205606795,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,1,9.0669533040967,4.0,clf1_active,1,0.0,0.0,False,pIC50
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,1,8.27490547891853,4.0,clf1_active,1,0.0,0.0,False,pIC50
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1,9.522878745280336,4.0,clf1_active,1,0.0,0.0,False,pIC50
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1,9.2518119729938,4.0,clf1_active,1,0.0,0.0,False,pIC50
CCCCOC(=O)c1cc(O)c(O)c(O)c1,1,9.136677139879543,4.0,clf1_active,1,0.0,0.0,False,pIC50
CCCOC(=O)c1cc(O)c(O)c(O)c1,1,9.113509274827518,4.0,clf1_active,1,0.0,0.0,False,pIC50
COC(=O)c1cc(O)c(O)c(O)c1,1,9.136677139879543,4.0,clf1_active,1,0.0,0.0,False,pIC50
COC(=O)c1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1,1,8.100015437450608,4.0,clf1_active,1,0.0,0.0,False,pIC50
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,1,9.585026652029182,4.0,clf1_active,1,0.0,0.0,False,pIC50
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,1,10.154901959985745,4.0,clf1_active,1,0.0,0.0,False,pIC50
COc1ccc(O)c(C(C)(C)C)c1,1,9.802168306671096,4.0,clf1_active,1,0.0,0.0,False,pIC50
COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,1,5.045757490560675,4.0,clf1_active,1,0.0,0.0,False,pIC50
