smiles,label,value,threshold_value,threshold_level,measurements,value_std,value_range,is_unstable,unit
CC(=O)NC(CS)C(=O)O,0,0.48,1.0,clf2_medium,1,0.0,0.0,False,TEAC
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,1,2.17164,1.0,clf2_medium,1,0.0,0.0,False,TEAC
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,0,0.19015,1.0,clf2_medium,1,0.0,0.0,False,TEAC
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0,0.774,1.0,clf2_medium,1,0.0,0.0,False,TEAC
CCOC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(=O)O,0,0.02,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(-c2ccc3c(O)cc(O)cc3[o+]2)cc(OC)c1O,0,0.00447689,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(-c2ccc3c(O)cc(O)cc3[o+]2)ccc1O,0,0.00305972,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(-c2ccc3c4c(c(O)cc3[o+]2)CC(O)C(c2ccc(O)c(O)c2)O4)cc(OC)c1O,0,0.00332394,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(-c2ccc3c4c(c(O)cc3[o+]2)CC(O)C(c2ccc(O)c(O)c2)O4)ccc1O,0,0.00451052,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(C(=O)O)ccc1O,1,1.19306,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(C=CC(=O)O)cc(OC)c1O,1,1.25082,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(CC(=O)O)cc(OC)c1O,1,2.48722,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(CC(=O)O)ccc1O,0,0.61408,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,1,3.70141,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0,0.15798,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1ccc(C(=O)O)cc1O,1,1.19306,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1ccc(C=CC(=O)O)cc1O,0,0.27887,1.0,clf2_medium,1,0.0,0.0,False,TEAC
COc1ccc(CC(=O)O)cc1O,0,0.56692,1.0,clf2_medium,1,0.0,0.0,False,TEAC
NC(CCS)C(=O)O,0,0.04,1.0,clf2_medium,1,0.0,0.0,False,TEAC
NC(CS)C(=O)O,0,0.14,1.0,clf2_medium,1,0.0,0.0,False,TEAC
NC(Cc1cc([N+](=O)[O-])c(O)c(O)c1O)C(=O)O,1,2.51,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,0,0.889,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0,0.448,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O,0,0.88,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)C=Cc1cccc(O)c1,0,0.00482,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)CCCCC1CCSS1,0,0.36,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)Cc1ccc(O)c(O)c1,1,3.27387,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)Cc1ccc(O)cc1,0,0.00496,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)Cc1cccc(O)c1,0,0.00666,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C(O)c1cc(O)c(O)c(O)c1,0,0.151,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,1,5.87469,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,0,0.91,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,0,0.38,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,1,1.1,1.0,clf2_medium,1,0.0,0.0,False,TEAC
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,0.739,1.0,clf2_medium,1,0.0,0.0,False,TEAC
OC(CS)C(O)CS,0,0.86,1.0,clf2_medium,1,0.0,0.0,False,TEAC
OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O.[Cl-],0,0.01281663,1.0,clf2_medium,1,0.0,0.0,False,TEAC
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0,0.853,1.0,clf2_medium,2,0.0183847763108502,0.026,False,TEAC
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,0,0.69,1.0,clf2_medium,2,0.1357645019878172,0.192,False,TEAC
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc2c(c1O)CC(O)C(c1ccc(O)c(O)c1)O2,0,0.809,1.0,clf2_medium,1,0.0,0.0,False,TEAC
Oc1cc(O)c2ccc(-c3ccc(O)c(O)c3)[o+]c2c1,0,0.00365541,1.0,clf2_medium,1,0.0,0.0,False,TEAC
Oc1ccc(-c2ccc3c(O)cc(O)cc3[o+]2)cc1.[Cl-],0,0.00174342,1.0,clf2_medium,1,0.0,0.0,False,TEAC
