smiles,label,positive_votes,task_votes
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0,0,1
C=C1CCCC(C)(C)C1Cc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,1,1,1
C=C1CCCC(C)(C)C1Cc1c(OC)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,1,1,1
C=CC(C)(C)c1c(O)c(CC=C(C)C)c2oc3cc(O)c(O)cc3c(=O)c2c1O,0,0,1
C=CC(C)(C)c1c(O)cc2oc3c(CC=C(C)C)c(O)c(O)cc3c(=O)c2c1O,0,0,1
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12,0,0,1
C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c3ccc(O)c(O)c3oc12,0,0,1
C=CCc1cc(OC)c(O)c(OC2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)c1,0,0,1
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,0,2
CC(=CC(=O)CC(C)=CCC1=CC(=O)C=C(C)C1=O)CCC=C(C)Cc1cc(C)co1,0,0,1
CC(=O)NC(CS)C(=O)O,0,0,2
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0,2
CC(=O)OCCc1ccc(O)c(O)c1,0,0,1
CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,1,1,1
CC(C)(C)c1cc(O)ccc1O,0,0,2
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0,0,2
CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C,1,1,1
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC(=O)C=C(C)C1=O,1,1,1
CC(C)=CCCC(C)=CCCC(C)=CCCC1(C)C=Cc2cc(O)cc(C)c2O1,1,1,1
